letter,start_position,end_position,red_motion_type,red_rot_dir,red_start_location,red_end_location,blue_motion_type,blue_rot_dir,blue_start_location,blue_end_location
U,gamma1,gamma2,anti,ccw,w,n,pro,cw,n,e
U,gamma2,gamma3,anti,ccw,n,e,pro,cw,e,s
U,gamma3,gamma4,anti,ccw,e,s,pro,cw,s,w
U,gamma4,gamma1,anti,ccw,s,w,pro,cw,w,n
U,gamma5,gamma8,anti,cw,e,n,pro,ccw,n,w
U,gamma8,gamma7,anti,cw,n,w,pro,ccw,w,s
U,gamma7,gamma6,anti,cw,w,s,pro,ccw,s,e
U,gamma6,gamma5,anti,cw,s,e,pro,ccw,e,n
U,gamma1,gamma4,pro,ccw,w,s,anti,cw,n,w
U,gamma4,gamma3,pro,ccw,s,e,anti,cw,w,s
U,gamma3,gamma2,pro,ccw,e,n,anti,cw,s,e
U,gamma2,gamma1,pro,ccw,n,w,anti,cw,e,n
U,gamma5,gamma6,pro,cw,e,s,anti,ccw,n,e
U,gamma6,gamma7,pro,cw,s,w,anti,ccw,e,s
U,gamma7,gamma8,pro,cw,w,n,anti,ccw,s,w
U,gamma8,gamma5,pro,cw,n,e,anti,ccw,w,n

