pictograph,primary,secondary,static_rot_angle
"E_(0.5, 0.5)","[-120, 80]","[-120, 80]",
"E_(2.5, 2.5)","[-80, 55]","[-80, 55]",
"E_(0.5, 2.5)","[-80, 55]","[-80, 55]",
"E_(2.5, 0.5)","[-80, 55]","[-80, 55]",
"G_(0, 0)","[90, -100]","[40, -50]",
"G_(0, 0.5)","[-10, 65]","[50, -30]",
"G_(0, 1)","[-35, -50]","[50, -85]",
"G_(0, 1.5)","[0, 20]","[50, -70]",
"G_(0, 2)","[25, -50]","[90, -90]",
"G_(0, 2.5)","[-15, 55]","[50, -35]",
"G_(0, 3)","[-45, -50]","[65, -85]",
"G_(0.5, 0)","[50, -45]","[-15, 55]",
"G_(0.5, 0.5)","[40, 95]","[5, 25]",
"G_(0.5, 1)","[-50, -60]","[-15, 55]",
"G_(0.5, 1.5)","[-5, 15]","[35, 95]",
"G_(0.5, 2)","[85, -75]","[-15, 55]",
"G_(0.5, 2.5)","[25, 80]","[70, 60]",
"G_(0.5, 3)","[-55, -65]","[-10, 65]",
"G_(1, 0)","[70, -65]","[-40, -35]",
"G_(1, 0.5)","[-15, 55]","[-45, -60]",
"G_(1, 1)","[40, -30]","[-50, -30]",
"G_(1, 1.5)","[-10, 30]","[-30, -70]",
"G_(1, 2)","[85, -50]","[-40, -35]",
"G_(1, 2.5)","[15, 40]","[-85, -5]",
"G_(1, 3)","[-55, -35]","[40, -35]",
"G_(1.5, 0)","[60, -80]","[0, 15]",
"G_(1.5, 0.5)","[25, 80]","[-5, 20]",
"G_(1.5, 1)","[-50, -90]","[-5, 15]",
"G_(1.5, 1.5)","[-15, 40]","[5, 0]",
"G_(1.5, 2)","[90, -120]","[-5, 15]",
"G_(1.5, 2.5)","[25, 65]","[-10, 5]",
"G_(1.5, 3)","[-55, -75]","[-5, 20]",
"G_(2, 0)","[80, -95]","[30, -45]",
"G_(2, 0.5)","[0, 60]","[75, -85]",
"G_(2, 1)","[-40, -40]","[80, -55]",
"G_(2, 1.5)","[-5, 25]","[85, -105]",
"G_(2, 2)","[25, -30]","[95, -115]",
"G_(2, 2.5)","[5, 55]","[55, -115]",
"G_(2, 3)","[-45, -30]","[80, -45]",
"G_(2.5, 0)","[45, -74]","[0, 50]",
"G_(2.5, 0.5)","[35, 75]","[25, 50]",
"G_(2.5, 1)","[-85, -5]","[15, 40]",
"G_(2.5, 1.5)","[20, 60]","[70, 65]",
"G_(2.5, 2)","[60, -95]","[5, 60]",
"G_(2.5, 2.5)","[90, 60]","[25, 60]",
"G_(2.5, 3)","[-110, 0]","[0, 55]",
"G_(3, 0)","[40, -50]","[-55, -25]",
"G_(3, 0.5)","[-10, 45]","[-105, 10]",
"G_(3, 1)","[40, -25]","[-55, -25]",
"G_(3, 1.5)","[-5, 45]","[-50, -65]",
"G_(3, 2)","[70, -75]","[-55, -25]",
"G_(3, 2.5)","[5, 55]","[-105, -5]",
"G_(3, 3)","[45, -25]","[-55, -25]",
"H_(0, 0)","[55, -120]","[15, -50]",
"H_(0, 0.5)","[-120, 100]","[-5, -5]",
"H_(0, 1)","[55, -100]","[5, -40]",
"H_(0, 1.5)","[-20, 75]","[40, -90]",
"H_(0, 2)","[50, -125]","[15, -50]",
"H_(0, 2.5)","[-110, 95]","[55, -85]",
"H_(0, 3)","[55, -115]","[15, -50]",
"H_(0.5, 0)","[5, -10]","[-85, 60]",
"H_(0.5, 0.5)","[-175, 55]","[-110, 60]",
"H_(0.5, 1)","[35, -40]","[-120, 100]",
"H_(0.5, 1.5)","[10, 80]","[-125, 80]",
"H_(0.5, 2)","[35, -35]","[-85, 60]",
"H_(0.5, 2.5)","[-170, 65]","[-110, 65]",
"H_(0.5, 3)","[35, -35]","[-125, 100]",
"H_(1, 0)","[10, -45]","[45, -115]",
"H_(1, 0.5)","[-120, 100]","[35, -40]",
"H_(1, 1)","[60, -105]","[15, -45]",
"H_(1, 1.5)","[-20, 75]","[40, -55]",
"H_(1, 2)","[65, -90]","[10, -35]",
"H_(1, 2.5)","[-115, 105]","[45, -20]",
"H_(1, 3)","[60, -100]","[15, -40]",
"H_(1.5, 0)","[45, -90]","[-20, 75]",
"H_(1.5, 0.5)","[-130, 70]","[-5, 75]",
"H_(1.5, 1)","[50, -60]","[-5, 75]",
"H_(1.5, 1.5)","[35, 60]","[-5, 105]",
"H_(1.5, 2)","[40, -55]","[-20, 75]",
"H_(1.5, 2.5)","[-115, 70]","[5, 80]",
"H_(1.5, 3)","[40, -65]","[-20, 75]",
"H_(2, 0)","[10, -40]","[55, -100]",
"H_(2, 0.5)","[-115, 90]","[35, -40]",
"H_(2, 1)","[10, -35]","[65, -90]",
"H_(2, 1.5)","[-20, 75]","[40, -55]",
"H_(2, 2)","[20, -60]","[70, -110]",
"H_(2, 2.5)","[-115, 85]","[30, -40]",
"H_(2, 3)","[80, -115]","[30, -60]",
"H_(2.5, 0)","[55, -85]","[-110, 95]",
"H_(2.5, 0.5)","[-110, 65]","[-170, 65]",
"H_(2.5, 1)","[45, -20]","[-115, 105]",
"H_(2.5, 1.5)","[5, 80]","[-115, 70]",
"H_(2.5, 2)","[70, -75]","[-15, 60]",
"H_(2.5, 2.5)","[-115, 60]","[-180, 65]",
