letter,start_position,end_position,blue_motion_type,blue_rotation_direction,blue_start_location,blue_end_location,red_motion_type,red_rotation_direction,red_start_location,red_end_location
X-,gamma1,alpha3,anti,ccw,w,n,dash,None,n,s
X-,gamma2,alpha4,anti,ccw,n,e,dash,None,e,w
X-,gamma3,alpha1,anti,ccw,e,s,dash,None,s,n
X-,gamma4,alpha2,anti,ccw,s,w,dash,None,w,e
X-,gamma5,alpha3,anti,cw,e,n,dash,None,n,s
X-,gamma6,alpha4,anti,cw,s,e,dash,None,e,w
X-,gamma7,alpha1,anti,cw,w,s,dash,None,s,n
X-,gamma8,alpha2,anti,cw,n,w,dash,None,w,e
X-,gamma1,alpha3,dash,None,w,n,anti,None,n,s
X-,gamma2,alpha4,dash,None,n,e,anti,None,e,w
X-,gamma3,alpha1,dash,None,e,s,anti,None,s,n
X-,gamma4,alpha2,dash,None,s,w,anti,None,w,e
X-,gamma5,alpha3,dash,None,e,n,anti,None,n,s
X-,gamma6,alpha4,dash,None,s,e,anti,None,e,w
X-,gamma7,alpha1,dash,None,w,s,anti,None,s,n
X-,gamma8,alpha2,dash,None,n,w,anti,None,w,e
