letter,start_pos,end_pos,timing,direction,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
A,alpha2,alpha4,split,same,pro,cw,sw,nw,pro,cw,ne,se
A,alpha4,alpha6,split,same,pro,cw,nw,ne,pro,cw,se,sw
A,alpha6,alpha8,split,same,pro,cw,ne,se,pro,cw,sw,nw
A,alpha8,alpha2,split,same,pro,cw,se,sw,pro,cw,nw,ne
A,alpha2,alpha8,split,same,pro,ccw,sw,se,pro,ccw,ne,nw
A,alpha8,alpha6,split,same,pro,ccw,se,ne,pro,ccw,nw,sw
A,alpha6,alpha4,split,same,pro,ccw,ne,nw,pro,ccw,sw,se
A,alpha4,alpha2,split,same,pro,ccw,nw,sw,pro,ccw,se,ne

B,alpha2,alpha4,split,same,anti,ccw,sw,nw,anti,ccw,ne,se
B,alpha4,alpha6,split,same,anti,ccw,nw,ne,anti,ccw,se,sw
B,alpha6,alpha8,split,same,anti,ccw,ne,se,anti,ccw,sw,nw
B,alpha8,alpha2,split,same,anti,ccw,se,sw,anti,ccw,nw,ne
B,alpha2,alpha8,split,same,anti,cw,sw,se,anti,cw,ne,nw
B,alpha8,alpha6,split,same,anti,cw,se,ne,anti,cw,nw,sw
B,alpha6,alpha4,split,same,anti,cw,ne,nw,anti,cw,sw,se
B,alpha4,alpha2,split,same,anti,cw,nw,sw,anti,cw,se,ne

C,alpha2,alpha4,split,same,anti,ccw,sw,nw,pro,cw,ne,se
C,alpha4,alpha6,split,same,anti,ccw,nw,ne,pro,cw,se,sw
C,alpha6,alpha8,split,same,anti,ccw,ne,se,pro,cw,sw,nw
C,alpha8,alpha2,split,same,anti,ccw,se,sw,pro,cw,nw,ne
C,alpha2,alpha8,split,same,anti,cw,sw,se,pro,ccw,ne,nw
C,alpha8,alpha6,split,same,anti,cw,se,ne,pro,ccw,nw,sw
C,alpha6,alpha4,split,same,anti,cw,ne,nw,pro,ccw,sw,se
C,alpha4,alpha2,split,same,anti,cw,nw,sw,pro,ccw,se,ne

C,alpha2,alpha4,split,same,pro,cw,sw,nw,anti,ccw,ne,se
C,alpha4,alpha6,split,same,pro,cw,nw,ne,anti,ccw,se,sw
C,alpha6,alpha8,split,same,pro,cw,ne,se,anti,ccw,sw,nw
C,alpha8,alpha2,split,same,pro,cw,se,sw,anti,ccw,nw,ne
C,alpha2,alpha8,split,same,pro,ccw,sw,se,anti,cw,ne,nw
C,alpha8,alpha6,split,same,pro,ccw,se,ne,anti,cw,nw,sw
C,alpha6,alpha4,split,same,pro,ccw,ne,nw,anti,cw,sw,se
C,alpha4,alpha2,split,same,pro,ccw,nw,sw,anti,cw,se,ne

D,beta2,alpha4,split,opp,pro,ccw,ne,nw,pro,cw,ne,se
D,beta4,alpha6,split,opp,pro,ccw,se,ne,pro,cw,se,sw
D,beta6,alpha8,split,opp,pro,ccw,sw,se,pro,cw,sw,nw
D,beta8,alpha2,split,opp,pro,ccw,nw,sw,pro,cw,nw,ne
D,beta2,alpha8,split,opp,pro,cw,ne,sw,pro,ccw,ne,nw
D,beta4,alpha2,split,opp,pro,cw,se,sw,pro,ccw,se,ne
D,beta6,alpha4,split,opp,pro,cw,sw,nw,pro,ccw,sw,se
D,beta8,alpha6,split,opp,pro,cw,nw,ne,pro,ccw,nw,sw

E,beta2,alpha4,split,opp,anti,ccw,ne,nw,anti,cw,ne,se
E,beta4,alpha6,split,opp,anti,ccw,se,ne,anti,cw,se,sw
E,beta6,alpha8,split,opp,anti,ccw,sw,se,anti,cw,sw,nw
E,beta8,alpha2,split,opp,anti,ccw,nw,sw,anti,cw,nw,ne
E,beta2,alpha8,split,opp,anti,cw,ne,sw,anti,ccw,ne,nw
E,beta4,alpha2,split,opp,anti,cw,se,sw,anti,ccw,se,ne
E,beta6,alpha4,split,opp,anti,cw,sw,nw,anti,ccw,sw,se
E,beta8,alpha6,split,opp,anti,cw,nw,ne,anti,ccw,nw,sw



G,beta2,beta4,split,same,pro,cw,ne,se,pro,cw,ne,se
G,beta4,beta6,split,same,pro,cw,se,sw,pro,cw,se,sw
G,beta6,beta8,split,same,pro,cw,sw,nw,pro,cw,sw,nw
G,beta8,beta2,split,same,pro,cw,nw,ne,pro,cw,nw,ne
G,beta2,beta8,split,same,pro,ccw,ne,nw,pro,ccw,ne,nw
G,beta8,beta6,split,same,pro,ccw,nw,sw,pro,ccw,nw,sw
G,beta6,beta4,split,same,pro,ccw,sw,se,pro,ccw,sw,se

