letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
F,beta1,alpha4,pro,cw,n,e,anti,cw,n,w
F,beta2,alpha1,pro,cw,e,s,anti,cw,e,n
F,beta3,alpha2,pro,cw,s,w,anti,cw,s,e
F,beta4,alpha3,pro,cw,w,n,anti,cw,w,s
F,beta1,alpha2,pro,ccw,n,w,anti,ccw,n,e
F,beta2,alpha3,pro,ccw,e,n,anti,ccw,e,s
F,beta3,alpha4,pro,ccw,s,e,anti,ccw,s,w
F,beta4,alpha1,pro,ccw,w,s,anti,ccw,w,n
F,beta1,alpha2,anti,cw,n,w,pro,cw,n,e
F,beta2,alpha3,anti,cw,e,n,pro,cw,e,s
F,beta3,alpha4,anti,cw,s,e,pro,cw,s,w
F,beta4,alpha1,anti,cw,w,s,pro,cw,w,n
F,beta1,alpha4,anti,ccw,n,e,pro,ccw,n,w
F,beta2,alpha1,anti,ccw,e,s,pro,ccw,e,n
F,beta3,alpha2,anti,ccw,s,w,pro,ccw,s,e
F,beta4,alpha3,anti,ccw,w,n,pro,ccw,w,s
