letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
I,beta1,beta2,pro,cw,n,e,anti,ccw,n,e
I,beta2,beta3,pro,cw,e,s,anti,ccw,e,s
I,beta3,beta4,pro,cw,s,w,anti,ccw,s,w
I,beta4,beta1,pro,cw,w,n,anti,ccw,w,n
I,beta1,beta4,pro,ccw,n,w,anti,cw,n,w
I,beta2,beta1,pro,ccw,e,n,anti,cw,e,n
I,beta3,beta2,pro,ccw,s,e,anti,cw,s,e
I,beta4,beta3,pro,ccw,w,s,anti,cw,w,s
I,beta1,beta4,anti,cw,n,w,pro,ccw,n,w
I,beta2,beta1,anti,cw,e,n,pro,ccw,e,n
I,beta3,beta2,anti,cw,s,e,pro,ccw,s,e
I,beta4,beta3,anti,cw,w,s,pro,ccw,w,s
I,beta1,beta2,anti,ccw,n,e,pro,cw,n,e
I,beta2,beta3,anti,ccw,e,s,pro,cw,e,s
I,beta3,beta4,anti,ccw,s,w,pro,cw,s,w
I,beta4,beta1,anti,ccw,w,n,pro,cw,w,n
