letter,start_position,end_position,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
O,gamma5,gamma4,pro,cw,e,s,anti,cw,n,w
O,gamma6,gamma1,pro,cw,s,w,anti,cw,e,n
O,gamma7,gamma2,pro,cw,w,n,anti,cw,s,e
O,gamma8,gamma3,pro,cw,n,e,anti,cw,w,s
O,gamma1,gamma6,pro,ccw,w,s,anti,ccw,n,e
O,gamma2,gamma7,pro,ccw,n,w,anti,ccw,e,s
O,gamma3,gamma8,pro,ccw,e,n,anti,ccw,s,w
O,gamma4,gamma5,pro,ccw,s,e,anti,ccw,w,n
O,gamma1,gamma6,anti,cw,w,s,pro,cw,n,e
O,gamma2,gamma7,anti,cw,n,w,pro,cw,e,s
O,gamma3,gamma8,anti,cw,e,n,pro,cw,s,w
O,gamma4,gamma5,anti,cw,s,e,pro,cw,w,n
O,gamma5,gamma4,anti,ccw,e,s,pro,ccw,n,w
O,gamma6,gamma1,anti,ccw,s,w,pro,ccw,e,n
O,gamma7,gamma2,anti,ccw,w,n,pro,ccw,s,e
O,gamma8,gamma3,anti,ccw,n,e,pro,ccw,w,s
