letter,start_position,end_position,blue_motion_type,blue_prop_rot_dir,blue_start_location,blue_end_location,red_motion_type,red_prop_rot_dir,red_start_location,red_end_location
T,gamma1,gamma8,anti,cw,w,n,anti,cw,n,w
T,gamma1,gamma4,anti,cw,w,s,anti,cw,n,w
T,gamma2,gamma5,anti,cw,n,e,anti,cw,e,n
T,gamma2,gamma1,anti,cw,n,w,anti,cw,e,n
T,gamma3,gamma6,anti,cw,e,s,anti,cw,s,e
T,gamma3,gamma2,anti,cw,e,n,anti,cw,s,e
T,gamma4,gamma7,anti,cw,s,w,anti,cw,w,s
T,gamma4,gamma3,anti,cw,s,e,anti,cw,w,s
T,gamma5,gamma2,anti,ccw,e,n,anti,ccw,n,e
T,gamma5,gamma6,anti,ccw,e,s,anti,ccw,n,e
T,gamma6,gamma3,anti,ccw,s,e,anti,ccw,e,s
T,gamma6,gamma7,anti,ccw,s,w,anti,ccw,e,s
T,gamma7,gamma4,anti,ccw,w,s,anti,ccw,s,w
T,gamma7,gamma8,anti,ccw,w,n,anti,ccw,s,w
T,gamma8,gamma1,anti,ccw,n,w,anti,ccw,w,n
T,gamma8,gamma5,anti,ccw,n,e,anti,ccw,w,n
