letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
V,gamma1,gamma2,pro,cw,w,n,anti,ccw,n,e
V,gamma2,gamma3,pro,cw,n,e,anti,ccw,e,s
V,gamma3,gamma4,pro,cw,e,s,anti,ccw,s,w
V,gamma4,gamma1,pro,cw,s,w,anti,ccw,w,n
V,gamma5,gamma8,pro,ccw,e,n,anti,cw,n,w
V,gamma6,gamma5,pro,ccw,s,e,anti,cw,e,n
V,gamma7,gamma6,pro,ccw,w,s,anti,cw,s,e
V,gamma8,gamma7,pro,ccw,n,w,anti,cw,w,s
V,gamma1,gamma4,anti,cw,w,s,pro,ccw,n,w
V,gamma2,gamma1,anti,cw,n,w,pro,ccw,e,n
V,gamma3,gamma2,anti,cw,e,n,pro,ccw,s,e
V,gamma4,gamma3,anti,cw,s,e,pro,ccw,w,s
V,gamma5,gamma6,anti,ccw,e,s,pro,cw,n,e
V,gamma6,gamma7,anti,ccw,s,w,pro,cw,e,s
V,gamma7,gamma8,anti,ccw,w,n,pro,cw,s,w
V,gamma8,gamma5,anti,ccw,n,e,pro,cw,w,n
