letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
W,gamma5,alpha1,pro,cw,e,s,static,None,n,n
W,gamma6,alpha2,pro,cw,s,w,static,None,e,e
W,gamma7,alpha3,pro,cw,w,n,static,None,s,s
W,gamma8,alpha4,pro,cw,n,e,static,None,w,w
W,gamma1,alpha1,pro,ccw,w,s,static,None,n,n
W,gamma2,alpha2,pro,ccw,n,w,static,None,e,e
W,gamma3,alpha3,pro,ccw,e,n,static,None,s,s
W,gamma4,alpha4,pro,ccw,s,e,static,None,w,w
W,gamma1,alpha2,static,None,w,w,pro,cw,n,e
W,gamma2,alpha3,static,None,n,n,pro,cw,e,s
W,gamma3,alpha4,static,None,e,e,pro,cw,s,w
W,gamma4,alpha1,static,None,s,s,pro,cw,w,n
W,gamma5,alpha4,static,None,e,e,pro,ccw,n,w
W,gamma6,alpha1,static,None,s,s,pro,ccw,e,n
W,gamma7,alpha2,static,None,w,w,pro,ccw,s,e
W,gamma8,alpha3,static,None,n,n,pro,ccw,w,s
