letter,start_position,end_position,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
X,gamma1,alpha1,anti,cw,w,s,static,None,n,n
X,gamma2,alpha2,anti,cw,n,w,static,None,e,e
X,gamma3,alpha3,anti,cw,e,n,static,None,s,s
X,gamma4,alpha4,anti,cw,s,e,static,None,w,w
X,gamma5,alpha1,anti,ccw,e,s,static,None,n,n
X,gamma6,alpha2,anti,ccw,s,w,static,None,e,e
X,gamma7,alpha3,anti,ccw,w,n,static,None,s,s
X,gamma8,alpha4,anti,ccw,n,e,static,None,w,w
X,gamma1,alpha2,static,None,w,w,anti,ccw,n,e
X,gamma2,alpha3,static,None,n,n,anti,ccw,e,s
X,gamma3,alpha4,static,None,e,e,anti,ccw,s,w
X,gamma4,alpha1,static,None,s,s,anti,ccw,w,n
X,gamma5,alpha4,static,None,e,e,anti,cw,n,w
X,gamma6,alpha1,static,None,s,s,anti,cw,e,n
X,gamma7,alpha2,static,None,w,w,anti,cw,s,e
X,gamma8,alpha3,static,None,n,n,anti,cw,w,s
