letter,start_position,end_position,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
Y,gamma1,beta1,pro,cw,w,n,static,None,n,n
Y,gamma2,beta2,pro,cw,n,e,static,None,e,e
Y,gamma3,beta3,pro,cw,e,s,static,None,s,s
Y,gamma4,beta4,pro,cw,s,w,static,None,w,w
Y,gamma5,beta1,pro,ccw,e,n,static,None,n,n
Y,gamma6,beta2,pro,ccw,s,e,static,None,e,e
Y,gamma7,beta3,pro,ccw,w,s,static,None,s,s
Y,gamma8,beta4,pro,ccw,n,w,static,None,w,w
Y,gamma1,beta4,static,None,w,w,pro,ccw,n,w
Y,gamma2,beta1,static,None,n,n,pro,ccw,e,n
Y,gamma3,beta2,static,None,e,e,pro,ccw,s,e
Y,gamma4,beta3,static,None,s,s,pro,ccw,w,s
Y,gamma5,beta2,static,None,e,e,pro,cw,n,e
Y,gamma6,beta3,static,None,s,s,pro,cw,e,s
Y,gamma7,beta4,static,None,w,w,pro,cw,s,w
Y,gamma8,beta1,static,None,n,n,pro,cw,w,n
