letter,start_position,end_position,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
Δ,alpha1,gamma5,anti,cw,s,e,static,None,n,n
Δ,alpha2,gamma6,anti,cw,w,s,static,None,e,e
Δ,alpha3,gamma7,anti,cw,n,w,static,None,s,s
Δ,alpha4,gamma8,anti,cw,e,n,static,None,w,w
Δ,alpha1,gamma1,anti,ccw,s,w,static,None,n,n
Δ,alpha2,gamma2,anti,ccw,w,n,static,None,e,e
Δ,alpha3,gamma3,anti,ccw,n,e,static,None,s,s
Δ,alpha4,gamma4,anti,ccw,e,s,static,None,w,w
Δ,alpha1,gamma6,static,None,s,s,anti,ccw,n,e
Δ,alpha1,gamma4,static,None,s,s,anti,cw,n,w
Δ,alpha2,gamma7,static,None,w,w,anti,ccw,e,s
Δ,alpha2,gamma1,static,None,w,w,anti,cw,e,n
Δ,alpha3,gamma8,static,None,n,n,anti,ccw,s,w
Δ,alpha3,gamma2,static,None,n,n,anti,cw,s,e
Δ,alpha4,gamma5,static,None,e,e,anti,ccw,w,n
Δ,alpha4,gamma3,static,None,e,e,anti,cw,w,s
