letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
Ω,beta1,gamma1,anti,cw,n,w,static,None,n,n
Ω,beta2,gamma2,anti,cw,e,n,static,None,e,e
Ω,beta3,gamma3,anti,cw,s,e,static,None,s,s
Ω,beta4,gamma4,anti,cw,w,s,static,None,w,w
Ω,beta1,gamma5,anti,ccw,n,e,static,None,n,n
Ω,beta2,gamma6,anti,ccw,e,s,static,None,e,e
Ω,beta3,gamma7,anti,ccw,s,w,static,None,s,s
Ω,beta4,gamma8,anti,ccw,w,n,static,None,w,w
Ω,beta1,gamma2,static,None,n,n,anti,ccw,n,e
Ω,beta1,gamma8,static,None,n,n,anti,cw,n,w
Ω,beta2,gamma3,static,None,e,e,anti,ccw,e,s
Ω,beta2,gamma5,static,None,e,e,anti,cw,e,n
Ω,beta3,gamma4,static,None,s,s,anti,ccw,s,w
Ω,beta3,gamma6,static,None,s,s,anti,cw,s,e
Ω,beta4,gamma1,static,None,w,w,anti,ccw,w,n
Ω,beta4,gamma7,static,None,w,w,anti,cw,w,s
