letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
θ,beta1,gamma5,pro,cw,n,e,static,None,n,n
θ,beta2,gamma6,pro,cw,e,s,static,None,e,e
θ,beta3,gamma7,pro,cw,s,w,static,None,s,s
θ,beta4,gamma8,pro,cw,w,n,static,None,w,w
θ,beta1,gamma1,pro,ccw,n,w,static,None,n,n
θ,beta2,gamma2,pro,ccw,e,n,static,None,e,e
θ,beta3,gamma3,pro,ccw,s,e,static,None,s,s
θ,beta4,gamma4,pro,ccw,w,s,static,None,w,w
θ,beta1,gamma2,static,None,n,n,pro,cw,n,e
θ,beta1,gamma8,static,None,n,n,pro,ccw,n,w
θ,beta2,gamma3,static,None,e,e,pro,cw,e,s
θ,beta2,gamma5,static,None,e,e,pro,ccw,e,n
θ,beta3,gamma4,static,None,s,s,pro,cw,s,w
θ,beta3,gamma6,static,None,s,s,pro,ccw,s,e
θ,beta4,gamma1,static,None,w,w,pro,cw,w,n
θ,beta4,gamma7,static,None,w,w,pro,ccw,w,s
