letter,start_position,end_position,blue_motion_type,blue_rot_dir,blue_start_location,blue_end_location,red_motion_type,red_rot_dir,red_start_location,red_end_location
W-,gamma1,alpha3,pro,cw,w,n,dash,None,n,s
W-,gamma2,alpha4,pro,cw,n,e,dash,None,e,w
W-,gamma3,alpha1,pro,cw,e,s,dash,None,s,n
W-,gamma4,alpha2,pro,cw,s,w,dash,None,w,e
W-,gamma5,alpha3,pro,ccw,e,n,dash,None,n,s
W-,gamma6,alpha4,pro,ccw,s,e,dash,None,e,w
W-,gamma7,alpha1,pro,ccw,w,s,dash,None,s,n
W-,gamma8,alpha2,pro,ccw,n,w,dash,None,w,e
W-,gamma1,alpha3,dash,None,n,s,pro,cw,w,n
W-,gamma2,alpha4,dash,None,e,w,pro,cw,n,e
W-,gamma3,alpha1,dash,None,s,n,pro,cw,e,s
W-,gamma4,alpha2,dash,None,w,e,pro,cw,s,w
W-,gamma5,alpha3,dash,None,n,s,pro,ccw,e,n
W-,gamma6,alpha4,dash,None,e,w,pro,ccw,s,e
W-,gamma7,alpha1,dash,None,s,n,pro,ccw,w,s
W-,gamma8,alpha2,dash,None,w,e,pro,ccw,n,w
