letter,start_position,end_position,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
Y-,gamma5,beta3,pro,cw,e,s,dash,None,n,s
Y-,gamma6,beta4,pro,cw,s,w,dash,None,e,w
Y-,gamma7,beta1,pro,cw,w,n,dash,None,s,n
Y-,gamma8,beta2,pro,cw,n,e,dash,None,w,e
Y-,gamma1,beta3,pro,ccw,w,s,dash,None,n,s
Y-,gamma2,beta4,pro,ccw,n,w,dash,None,e,w
Y-,gamma3,beta1,pro,ccw,e,n,dash,None,s,n
Y-,gamma4,beta2,pro,ccw,s,e,dash,None,w,e
Y-,gamma1,beta2,dash,None,w,e,pro,cw,n,e
Y-,gamma2,beta3,dash,None,n,s,pro,cw,e,s
Y-,gamma3,beta4,dash,None,e,w,pro,cw,s,w
Y-,gamma4,beta1,dash,None,s,n,pro,cw,w,n
Y-,gamma5,beta4,dash,None,e,w,pro,ccw,n,w
Y-,gamma6,beta1,dash,None,s,n,pro,ccw,e,n
Y-,gamma7,beta2,dash,None,w,e,pro,ccw,s,e
Y-,gamma8,beta3,dash,None,n,s,pro,ccw,w,s
