letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
θ-,alpha1,gamma7,pro,cw,s,w,dash,None,n,s
θ-,alpha2,gamma8,pro,cw,w,n,dash,None,e,w
θ-,alpha3,gamma5,pro,cw,n,e,dash,None,s,n
θ-,alpha4,gamma6,pro,cw,e,s,dash,None,w,e
θ-,alpha1,gamma3,pro,ccw,s,e,dash,None,n,s
θ-,alpha2,gamma4,pro,ccw,w,s,dash,None,e,w
θ-,alpha3,gamma1,pro,ccw,n,w,dash,None,s,n
θ-,alpha4,gamma2,pro,ccw,e,n,dash,None,w,e
θ-,alpha1,gamma2,dash,None,s,n,pro,cw,n,e
θ-,alpha1,gamma8,dash,None,s,n,pro,ccw,n,w
θ-,alpha2,gamma3,dash,None,w,e,pro,cw,e,s
θ-,alpha2,gamma5,dash,None,w,e,pro,ccw,e,n
θ-,alpha3,gamma4,dash,None,n,s,pro,cw,s,w
θ-,alpha3,gamma6,dash,None,n,s,pro,ccw,s,e
θ-,alpha4,gamma1,dash,None,e,w,pro,cw,w,n
θ-,alpha4,gamma7,dash,None,e,w,pro,ccw,w,s
