letter,blue_color,blue_motion_type,blue_rotation_direction,blue_start_location,blue_end_location,blue_turns,blue_start_orientation,blue_end_orientation,red_color,red_motion_type,red_rotation_direction,red_start_location,red_end_location,red_turns,red_start_orientation,red_end_orientation,blue_optimal_location_x,blue_optimal_location_y,red_optimal_location_x,red_optimal_location_y
A,blue,pro,cw,s,w,0,in,out,red,pro,cw,n,e,0,in,out,,,,
A,blue,pro,ccw,e,n,0,in,out,red,pro,ccw,w,s,0,in,out,,,,
A,blue,pro,cw,w,n,0,in,out,red,pro,cw,e,s,0,in,out,,,,
A,blue,pro,ccw,w,s,0,in,out,red,pro,ccw,e,n,0,in,out,,,,
A,blue,pro,ccw,s,e,0,in,out,red,pro,ccw,n,w,0,in,out,,,,
A,blue,pro,cw,n,e,0,in,out,red,pro,cw,s,w,0,in,out,,,,
A,blue,pro,ccw,n,w,0,in,out,red,pro,ccw,s,e,0,in,out,,,,
A,blue,pro,cw,e,s,0,in,out,red,pro,cw,w,n,0,in,out,,,,
B,blue,anti,cw,e,n,0,in,out,red,anti,cw,w,s,0,in,out,,,,
B,blue,anti,cw,w,s,0,in,out,red,anti,cw,e,n,0,in,out,,,,
B,blue,anti,cw,n,w,0,in,out,red,anti,cw,s,e,0,in,out,,,,
B,blue,anti,ccw,e,s,0,in,out,red,anti,ccw,w,n,0,in,out,,,,
B,blue,anti,cw,s,e,0,in,out,red,anti,cw,n,w,0,in,out,,,,
B,blue,anti,ccw,n,e,0,in,out,red,anti,ccw,s,w,0,in,out,,,,
B,blue,anti,ccw,s,w,0,in,out,red,anti,ccw,n,e,0,in,out,,,,
B,blue,anti,ccw,w,n,0,in,out,red,anti,ccw,e,s,0,in,out,,,,
C,blue,anti,ccw,n,e,0,in,out,red,pro,cw,s,w,0,in,out,,,,
C,blue,pro,ccw,e,n,0,in,out,red,anti,cw,w,s,0,in,out,,,,
C,blue,anti,cw,e,n,0,in,out,red,pro,ccw,w,s,0,in,out,,,,
C,blue,pro,cw,n,e,0,in,out,red,anti,ccw,s,w,0,in,out,,,,
C,blue,pro,ccw,w,s,0,in,out,red,anti,cw,e,n,0,in,out,,,,
C,blue,anti,cw,w,s,0,in,out,red,pro,ccw,e,n,0,in,out,,,,
C,blue,pro,cw,s,w,0,in,out,red,anti,ccw,n,e,0,in,out,,,,
C,blue,anti,ccw,s,w,0,in,out,red,pro,cw,n,e,0,in,out,,,,
C,blue,anti,cw,s,e,0,in,out,red,pro,ccw,n,w,0,in,out,,,,
C,blue,anti,ccw,w,n,0,in,out,red,pro,cw,e,s,0,in,out,,,,
C,blue,pro,ccw,n,w,0,in,out,red,anti,cw,s,e,0,in,out,,,,
C,blue,anti,cw,n,w,0,in,out,red,pro,ccw,s,e,0,in,out,,,,
C,blue,pro,cw,w,n,0,in,out,red,anti,ccw,e,s,0,in,out,,,,
C,blue,pro,cw,e,s,0,in,out,red,anti,ccw,w,n,0,in,out,,,,
C,blue,anti,ccw,e,s,0,in,out,red,pro,cw,w,n,0,in,out,,,,
C,blue,pro,ccw,s,e,0,in,out,red,anti,cw,n,w,0,in,out,,,,
D,blue,pro,cw,s,w,0,in,out,red,pro,ccw,s,e,0,in,out,,,,
D,blue,pro,ccw,s,e,0,in,out,red,pro,cw,s,w,0,in,out,,,,
D,blue,pro,cw,n,e,0,in,out,red,pro,ccw,n,w,0,in,out,,,,
D,blue,pro,cw,e,s,0,in,out,red,pro,ccw,e,n,0,in,out,,,,
D,blue,pro,ccw,w,s,0,in,out,red,pro,cw,w,n,0,in,out,,,,
D,blue,pro,cw,w,n,0,in,out,red,pro,ccw,w,s,0,in,out,,,,
D,blue,pro,ccw,n,w,0,in,out,red,pro,cw,n,e,0,in,out,,,,
D,blue,pro,ccw,e,n,0,in,out,red,pro,cw,e,s,0,in,out,,,,
E,blue,anti,ccw,e,s,0,in,out,red,anti,cw,e,n,0,in,out,,,,
E,blue,anti,ccw,s,w,0,in,out,red,anti,cw,s,e,0,in,out,,,,
E,blue,anti,cw,w,s,0,in,out,red,anti,ccw,w,n,0,in,out,,,,
