         955577 function calls (954009 primitive calls) in 28.672 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.013    0.013   28.784   28.784 d:\CODE\Apps\Sequence_Constructor\main.py:26(main)
        1   21.451   21.451   28.466   28.466 {built-in method exec}
      128    0.001    0.000    6.289    0.049 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox.py:29(update)
      120    0.002    0.000    6.184    0.052 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:337(update)
      128    0.003    0.000    5.852    0.046 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_widgets.py:64(update_attribute_widgets)
      222    0.005    0.000    5.848    0.026 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_widgets.py:55(update_info_widget_content)
      222    0.004    0.000    5.839    0.026 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_labels.py:53(update_labels)
      222    5.713    0.026    5.830    0.026 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_labels.py:107(set_clock_pixmap)
      120    0.001    0.000    5.750    0.048 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:343(update_infobox)
      799    0.007    0.000    3.658    0.005 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\arrowbox\arrowbox.py:100(mouseMoveEvent)
      799    0.010    0.000    3.649    0.005 d:\CODE\Apps\Sequence_Constructor\events\drag.py:130(handle_mouse_move)
      754    0.006    0.000    3.624    0.005 d:\CODE\Apps\Sequence_Constructor\events\drag.py:208(update_for_graphboard)
       73    0.002    0.000    3.598    0.049 d:\CODE\Apps\Sequence_Constructor\events\drag.py:229(update_preview_for_new_quadrant)
       10    0.000    0.000    1.109    0.111 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\object_manager\graphboard_manipulators.py:146(swap_motion_type)
      177    0.003    0.000    1.080    0.006 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:82(mouseMoveEvent)
        9    0.000    0.000    0.994    0.110 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_buttons.py:56(<lambda>)
      360    0.003    0.000    0.738    0.002 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:189(get_current_letter)
      360    0.034    0.000    0.719    0.002 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:194(get_match)
    18640    0.205    0.000    0.686    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:309(match_combination)
     4096    0.009    0.000    0.598    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\main_widget.py:53(eventFilter)
        9    0.000    0.000    0.571    0.063 d:\CODE\Apps\Sequence_Constructor\events\key_event_handler.py:6(keyPressEvent)
        9    0.000    0.000    0.570    0.063 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\object_manager\graphboard_manipulators.py:16(move_wasd)
       94    0.001    0.000    0.435    0.005 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_labels.py:87(update_type_and_position_label)
   105146    0.190    0.000    0.382    0.000 {built-in method builtins.all}
      180    0.001    0.000    0.368    0.002 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:236(get_current_letter_type)
      120    0.001    0.000    0.325    0.003 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:356(update_letter)
        6    0.000    0.000    0.325    0.054 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\object_manager\graphboard_manipulators.py:95(mirror_arrow)
        1    0.000    0.000    0.304    0.304 d:\CODE\Apps\Sequence_Constructor\main.py:9(__init__)
        1    0.000    0.000    0.302    0.302 d:\CODE\Apps\Sequence_Constructor\main.py:15(init_main_window)
   250632    0.270    0.000    0.289    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:321(<genexpr>)
        5    0.000    0.000    0.270    0.054 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_buttons.py:68(<lambda>)
        1    0.000    0.000    0.247    0.247 d:\CODE\Apps\Sequence_Constructor\widgets\main_widget.py:14(__init__)
        4    0.000    0.000    0.229    0.057 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\arrowbox\arrowbox.py:106(mouseReleaseEvent)
        4    0.000    0.000    0.229    0.057 d:\CODE\Apps\Sequence_Constructor\events\drag.py:136(handle_mouse_release)
      213    0.003    0.000    0.190    0.001 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\object_manager\position_optimizers\arrow_positioner.py:11(update)
