Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
-------------------------------------------------------------------------------------------------------------------
      2664        0.084972        0.000032             0.281379             0.000106 paintEvent                     SW_beat_frame\styled_border_overlay.py:42
       890        0.051512        0.000058             1.236576             0.001389 paint_background               background_managers\aurora_borealis_background_manager.py:19
       890        0.045661        0.000051             1.283995             0.001443 paintEvent                     main_widget\top_builder_widget.py:44
      2664        0.043404        0.000016             0.122030             0.000046 _draw_outer_border             SW_beat_frame\styled_border_overlay.py:70
      2664        0.037961        0.000014             0.196407             0.000074 _draw_borders                  SW_beat_frame\styled_border_overlay.py:47
       887        0.033062        0.000037             0.052301             0.000059 paintEvent                     SW_beat_frame\current_word_line_edit.py:39
       887        0.025829        0.000029             0.133624             0.000151 paintEvent                     SW_beat_frame\beat.py:103
      1762        0.021828        0.000012             0.126452             0.000072 animate_background             background_managers\aurora_borealis_background_manager.py:14
      2664        0.020252        0.000008             0.036416             0.000014 _draw_inner_border             SW_beat_frame\styled_border_overlay.py:52
         4        0.000242        0.000061             0.001770             0.000443 paintEvent                     components\GE_pictograph_view.py:32
         2        0.000230        0.000115             0.085351             0.042675 leaveEvent                     components\pictograph_view.py:149
         2        0.000087        0.000044             0.000203             0.000102 enterEvent                     components\pictograph_view.py:135
         2        0.000057        0.000029             0.002022             0.001011 resizeEvent                    main_widget\main_widget.py:213
         4        0.000055        0.000014             0.000155             0.000039 update_border_color_and_width  SW_beat_frame\styled_border_overlay.py:33
         2        0.000047        0.000023             0.001769             0.000885 set_dimensions                 utilities\main_window_geometry_manager.py:14
         3        0.000046        0.000015             0.000275             0.000092 _style_button                  options_panel\sort_widget.py:111
         4        0.000046        0.000011             0.000099             0.000025 update_border_widths           SW_beat_frame\styled_border_overlay.py:27
         1        0.000042        0.000042             0.002104             0.002104 closeEvent                     tka-sequence-constructor\main.py:37
         1        0.000042        0.000042             0.002046             0.002046 save_settings                  settings_manager\settings_manager.py:46
         1        0.000030        0.000030             0.000306             0.000306 style_buttons                  options_panel\sort_widget.py:106
         1        0.000030        0.000030             0.000361             0.000361 resizeEvent                    options_panel\sort_widget.py:150
         2        0.000027        0.000013             0.000121             0.000061 reset_border                   SW_beat_frame\styled_border_overlay.py:97
         2        0.000024        0.000012             0.000085             0.000042 set_gold_border                SW_beat_frame\styled_border_overlay.py:84
         1        0.000014        0.000014             0.000021             0.000021 resizeEvent                    thumbnail_box\variation_number_label.py:32
         1        0.000009        0.000009             0.000023             0.000023 _style_sort_by_label           options_panel\sort_widget.py:101
         1        0.000007        0.000007             0.003575             0.003575 <lambda>                       tka-sequence-constructor\main.py:87
         1        0.000005        0.000005             0.000054             0.000054 disable                        widgets\profiler.py:17
         3        0.000002        0.000001             0.000003             0.000001 get_background_type            settings_manager\global_settings.py:48
         3        0.000002        0.000001             0.000002             0.000001 get_font_color                 settings_manager\global_settings.py:95


Organized by number of calls:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
-------------------------------------------------------------------------------------------------------------------
      2664        0.043404        0.000016             0.122030             0.000046 _draw_outer_border             SW_beat_frame\styled_border_overlay.py:70
      2664        0.020252        0.000008             0.036416             0.000014 _draw_inner_border             SW_beat_frame\styled_border_overlay.py:52
      2664        0.084972        0.000032             0.281379             0.000106 paintEvent                     SW_beat_frame\styled_border_overlay.py:42
      2664        0.037961        0.000014             0.196407             0.000074 _draw_borders                  SW_beat_frame\styled_border_overlay.py:47
      1762        0.021828        0.000012             0.126452             0.000072 animate_background             background_managers\aurora_borealis_background_manager.py:14
       890        0.051512        0.000058             1.236576             0.001389 paint_background               background_managers\aurora_borealis_background_manager.py:19
       890        0.045661        0.000051             1.283995             0.001443 paintEvent                     main_widget\top_builder_widget.py:44
       887        0.025829        0.000029             0.133624             0.000151 paintEvent                     SW_beat_frame\beat.py:103
       887        0.033062        0.000037             0.052301             0.000059 paintEvent                     SW_beat_frame\current_word_line_edit.py:39
         4        0.000055        0.000014             0.000155             0.000039 update_border_color_and_width  SW_beat_frame\styled_border_overlay.py:33
         4        0.000046        0.000011             0.000099             0.000025 update_border_widths           SW_beat_frame\styled_border_overlay.py:27
         4        0.000242        0.000061             0.001770             0.000443 paintEvent                     components\GE_pictograph_view.py:32
         3        0.000046        0.000015             0.000275             0.000092 _style_button                  options_panel\sort_widget.py:111
         3        0.000002        0.000001             0.000002             0.000001 get_font_color                 settings_manager\global_settings.py:95
         3        0.000002        0.000001             0.000003             0.000001 get_background_type            settings_manager\global_settings.py:48
         2        0.000047        0.000023             0.001769             0.000885 set_dimensions                 utilities\main_window_geometry_manager.py:14
         2        0.000027        0.000013             0.000121             0.000061 reset_border                   SW_beat_frame\styled_border_overlay.py:97
         2        0.000024        0.000012             0.000085             0.000042 set_gold_border                SW_beat_frame\styled_border_overlay.py:84
         2        0.000230        0.000115             0.085351             0.042675 leaveEvent                     components\pictograph_view.py:149
         2        0.000087        0.000044             0.000203             0.000102 enterEvent                     components\pictograph_view.py:135
         2        0.000057        0.000029             0.002022             0.001011 resizeEvent                    main_widget\main_widget.py:213
         1        0.000042        0.000042             0.002046             0.002046 save_settings                  settings_manager\settings_manager.py:46
         1        0.000042        0.000042             0.002104             0.002104 closeEvent                     tka-sequence-constructor\main.py:37
         1        0.000005        0.000005             0.000054             0.000054 disable                        widgets\profiler.py:17
         1        0.000007        0.000007             0.003575             0.003575 <lambda>                       tka-sequence-constructor\main.py:87
         1        0.000030        0.000030             0.000306             0.000306 style_buttons                  options_panel\sort_widget.py:106
         1        0.000014        0.000014             0.000021             0.000021 resizeEvent                    thumbnail_box\variation_number_label.py:32
         1        0.000030        0.000030             0.000361             0.000361 resizeEvent                    options_panel\sort_widget.py:150
         1        0.000009        0.000009             0.000023             0.000023 _style_sort_by_label           options_panel\sort_widget.py:101


Organized by cumulative time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
-------------------------------------------------------------------------------------------------------------------
       890        0.045661        0.000051             1.283995             0.001443 paintEvent                     main_widget\top_builder_widget.py:44
       890        0.051512        0.000058             1.236576             0.001389 paint_background               background_managers\aurora_borealis_background_manager.py:19
      2664        0.084972        0.000032             0.281379             0.000106 paintEvent                     SW_beat_frame\styled_border_overlay.py:42
      2664        0.037961        0.000014             0.196407             0.000074 _draw_borders                  SW_beat_frame\styled_border_overlay.py:47
       887        0.025829        0.000029             0.133624             0.000151 paintEvent                     SW_beat_frame\beat.py:103
      1762        0.021828        0.000012             0.126452             0.000072 animate_background             background_managers\aurora_borealis_background_manager.py:14
      2664        0.043404        0.000016             0.122030             0.000046 _draw_outer_border             SW_beat_frame\styled_border_overlay.py:70
         2        0.000230        0.000115             0.085351             0.042675 leaveEvent                     components\pictograph_view.py:149
       887        0.033062        0.000037             0.052301             0.000059 paintEvent                     SW_beat_frame\current_word_line_edit.py:39
      2664        0.020252        0.000008             0.036416             0.000014 _draw_inner_border             SW_beat_frame\styled_border_overlay.py:52
         1        0.000007        0.000007             0.003575             0.003575 <lambda>                       tka-sequence-constructor\main.py:87
         1        0.000042        0.000042             0.002104             0.002104 closeEvent                     tka-sequence-constructor\main.py:37
         1        0.000042        0.000042             0.002046             0.002046 save_settings                  settings_manager\settings_manager.py:46
         2        0.000057        0.000029             0.002022             0.001011 resizeEvent                    main_widget\main_widget.py:213
         4        0.000242        0.000061             0.001770             0.000443 paintEvent                     components\GE_pictograph_view.py:32
         2        0.000047        0.000023             0.001769             0.000885 set_dimensions                 utilities\main_window_geometry_manager.py:14
         1        0.000030        0.000030             0.000361             0.000361 resizeEvent                    options_panel\sort_widget.py:150
