         563346 function calls in 0.544 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14852    0.159    0.000    0.544    0.000 d:\CODE\Apps\Sequence_Constructor\utilities\letter_engine.py:84(match_combination)
    81644    0.146    0.000    0.307    0.000 {built-in method builtins.all}
   194690    0.224    0.000    0.239    0.000 d:\CODE\Apps\Sequence_Constructor\utilities\letter_engine.py:93(<genexpr>)
   255796    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
    14856    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     1232    0.000    0.000    0.000    0.000 {method 'enable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 d:\CODE\Apps\Sequence_Constructor\utilities\letter_engine.py:103(write_profiling_stats_to_file)
        4    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\pstats.py:108(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\pstats.py:118(init)
      248    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\pstats.py:137(load_stats)
        4    0.000    0.000    0.000    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\cProfile.py:50(create_stats)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}


